                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,metrics/accuracy_train_top1,                   lr/0
                      0,                  2.275,                 1.7366,                0.74939,                0.92623,                0.85711,              0.0009901
                      1,                  1.206,                 1.4431,                0.84416,                0.96532,                0.96556,              0.0009802
                      2,                 1.0073,                 1.2595,                0.89204,                0.97753,                 0.9895,              0.0009703
                      3,                0.91928,                 1.1854,                0.91988,                0.97948,                0.99976,              0.0009604
                      4,                0.88517,                 1.1714,                0.91842,                0.98388,                0.99976,              0.0009505
                      5,                0.86944,                 1.1934,                0.91353,                0.97948,                0.99976,              0.0009406
                      6,                0.86487,                 1.1642,                0.91646,                0.98095,                0.99951,              0.0009307
                      7,                0.85435,                 1.1818,                  0.915,                0.98241,                      1,              0.0009208
                      8,                0.84972,                 1.1456,                0.92086,                0.98437,                0.99976,              0.0009109
                      9,                0.84574,                 1.1914,                0.91646,                0.97899,                      1,               0.000901
                     10,                0.85162,                 1.1355,                0.92965,                0.98388,                      1,              0.0008911
                     11,                0.84399,                 1.1463,                0.92819,                0.97948,                      1,              0.0008812
                     12,                0.84102,                 1.2056,                0.90962,                0.97802,                0.99976,              0.0008713
                     13,                0.84278,                 1.1547,                0.91842,                0.98144,                0.99951,              0.0008614
                     14,                0.84429,                 1.1435,                0.92672,                0.98437,                0.99976,              0.0008515
                     15,                0.84024,                 1.1639,                0.91744,                0.98144,                0.99878,              0.0008416
                     16,                0.83439,                 1.1759,                0.91255,                0.97899,                      1,              0.0008317
                     17,                0.83348,                 1.1315,                0.92965,                0.98534,                      1,              0.0008218
                     18,                 0.8346,                 1.1693,                0.92135,                0.97997,                      1,              0.0008119
                     19,                0.83286,                 1.1738,                0.91597,                0.97899,                0.99927,               0.000802
                     20,                0.83346,                 1.1746,                  0.915,                0.98241,                0.99951,              0.0007921
                     21,                0.82873,                 1.1348,                0.92379,                0.98339,                0.99927,              0.0007822
                     22,                0.82988,                 1.1752,                0.91646,                0.98241,                0.99976,              0.0007723
                     23,                   0.83,                 1.1745,                0.92184,                0.98437,                      1,              0.0007624
                     24,                 0.8248,                 1.1487,                0.91793,                0.98241,                      1,              0.0007525
                     25,                0.82382,                 1.1737,                0.91597,                0.98144,                0.99951,              0.0007426
                     26,                0.82308,                 1.1387,                0.92037,                0.97899,                      1,              0.0007327
                     27,                0.81884,                 1.1496,                0.92281,                0.98437,                      1,              0.0007228
                     28,                0.81401,                 1.1582,                0.92428,                0.98095,                      1,              0.0007129
                     29,                0.81306,                 1.1154,                0.93405,                0.98583,                      1,               0.000703
                     30,                0.81033,                 1.1176,                0.93258,                 0.9829,                      1,              0.0006931
                     31,                0.80939,                 1.1334,                0.92965,                0.98339,                      1,              0.0006832
                     32,                0.81094,                 1.1421,                0.93161,                0.98192,                      1,              0.0006733
                     33,                0.80932,                 1.1361,                0.92526,                0.98534,                      1,              0.0006634
                     34,                0.80753,                 1.1034,                0.93161,                0.98828,                      1,              0.0006535
                     35,                0.80491,                 1.1103,                0.93698,                0.98583,                      1,              0.0006436
                     36,                0.80532,                  1.122,                0.93454,                0.98632,                      1,              0.0006337
                     37,                0.80446,                  1.107,                0.93747,                0.98828,                      1,              0.0006238
                     38,                0.80058,                 1.1117,                0.93747,                0.98583,                      1,              0.0006139
                     39,                0.80135,                 1.0917,                0.94235,                0.98828,                      1,               0.000604
                     40,                0.80222,                   1.11,                0.93747,                0.98681,                      1,              0.0005941
                     41,                0.80272,                 1.1105,                0.93161,                0.98241,                0.99976,              0.0005842
                     42,                0.80241,                 1.1208,                0.92819,                0.98779,                      1,              0.0005743
                     43,                0.80032,                 1.1085,                  0.936,                 0.9873,                      1,              0.0005644
                     44,                 0.8019,                 1.1287,                0.93405,                0.98437,                      1,              0.0005545
                     45,                0.84105,                 1.3938,                0.85491,                0.95896,                0.98999,              0.0005446
                     46,                 1.1084,                 2.0904,                0.63801,                0.85442,                0.83048,              0.0005347
                     47,                 1.0208,                 1.3785,                0.83683,                0.96287,                0.98999,              0.0005248
